Unnamed: 0,Employee_ID,Has_Response,Vibe_Score,Has_Award,Has_Activity,Teams_Messages_Sent,Emails_Sent,Meetings_Attended,Work_Hours,Leave_Days,Promotion_Consideration,Performance_Rating,Cluster,Total_Communications,Activity_Performance_Ratio,Leave_Anomaly,Is_Inactive,Engagement_Deficit,Effort_Score,Performance_Effort_Misalignment,Expected_Awards,Recognition_Imbalance,Work_Hours_Z,Work_Pattern_Anomalies,Career_Progression_Stagnation,Anomaly_Score,Activity_Level,Vibe_Score_Z,Performance_Rating_Z,Peer_Deviation,Risk_Score,Risk_Level
0,EMP0001,0,0.0,1,0,0.0,0.0,0.0,0.0,6.0,0.0,2.6666666666666665,2,0.0,0.0,0.19653022499322306,1,10.0,0.0,0.0,1.8666666666666665,9.333333333333332,-0.5919230664326427,2.9000955622951112,10.0,0,Low,-0.9007001275193506,1.1182235829099996,0.8702822589539977,6.335014334344266,High
1,EMP0002,1,0.1666666666666666,1,2,75.0,15.0,15.0,12.5,18.0,0.6666666666666666,2.0,0,105.0,50.0,1.410409325020331,0,3.666666666666668,5.583333333333334,0.5833333333333339,1.4,3.6666666666666665,-0.6417744889470728,8.483705640483445,3.333333333333334,0,High,-0.6618807762001113,0.5590099509735319,0.620888405373572,3.5683891794058504,Moderate
2,EMP0003,2,0.6666666666666666,2,1,16.0,28.0,2.0,4.09,0.0,0.0,1.0,1,46.0,41.81818181818181,1.0,0,1.666666666666667,2.215,0.0,0.7,5.0,-1.2694785350133682,5.821617787602027,10.0,0,Medium,-0.027304666452993242,-0.07925085421125004,0.4586780185592038,3.6232426681403043,Moderate
3,EMP0004,1,0.6666666666666666,3,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,0.0,0.0,1.0,1,5.166666666666667,0.0,0.0,2.0999999999999996,5.0,-0.5919230664326427,6.917444437328996,10.0,0,Low,-0.1469431817237672,1.3867607799745119,0.7085423427103072,4.837616665599349,Moderate
4,EMP0005,2,1.8,0,2,27.0,32.0,12.0,14.75,4.0,0.0,0.0,0,71.0,710.0,0.4643534833288154,0,0.0,4.824999999999999,4.824999999999999,0.0,5.0,-0.30058869296170615,4.356265053513808,10.0,0,High,2.1216208253854645,-1.0785702586849655,1.1669265923440453,4.109689758027071,Moderate
5,EMP0006,3,1.2857142857142858,0,2,95.0,34.0,11.0,12.39,0.0,1.0,2.0,0,140.0,66.66666666666666,1.0,0,0.0,6.731666666666667,1.7316666666666674,1.4,7.0,-0.6584546834174684,6.402186904997935,0.0,1,High,1.2451830033118723,0.5590099509735319,0.8208825459009574,2.443244702416357,Low
6,EMP0007,0,0.0,1,0,0.0,0.0,0.0,0.0,25.0,0.0,0.6666666666666666,2,0.0,0.0,2.347790729194904,1,10.0,0.0,0.0,0.4666666666666666,5.0,-0.5919230664326427,10.0,10.0,0,Low,-0.9007001275193506,-0.4929995994770728,0.6618742644763553,6.75,High
7,EMP0008,1,0.8,1,0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,2,0.0,0.0,3.4190837625372734,1,4.5,0.0,0.0,0.0,5.0,-0.5919230664326427,10.0,10.0,0,Low,0.0038082074353495724,-1.030073993606097,0.5419350891580298,5.1,Moderate
8,EMP0009,1,0.4444444444444444,4,2,44.0,50.0,2.0,16.28,14.0,0.8888888888888888,0.8888888888888888,0,96.0,97.07865168539327,0.8747628083491462,0,2.2777777777777777,5.913333333333334,3.6911111111111117,0.6222222222222221,0.5555555555555558,-0.06858235169165665,6.818241941227262,1.1111111111111116,0,High,-0.18849615008011542,-0.35075683217007775,0.20261177798061658,2.878847402295201,Low
9,EMP0010,1,0.5714285714285714,0,2,42.0,43.0,5.0,18.72,12.0,0.0,2.571428571428572,0,90.0,33.689839572192504,0.6069395500135538,0,1.6428571428571432,6.12,0.0,1.8000000000000003,10.0,0.3014146892880295,6.132870643518445,10.0,0,High,0.02790825043188268,1.0268900108759602,0.45207098353195746,4.4127877393849095,Moderate
